,length,popularity_,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,days_since,popularity_meta,followers,popularity_count,popularity_count_album,artist_avg_pop_other,album_avg_pop_other,imputed_album_avg_pop_other,time_signature_3,time_signature_4,time_signature_5,liveness_speechiness_feat_2.0,liveness_speechiness_feat_3.0,liveness_speechiness_feat_999.0,danceability_speechiness_feat_3.0,danceability_speechiness_feat_999.0,length_speechiness_feat_3.0,length_speechiness_feat_5.0,length_speechiness_feat_999.0,instrumentalness_time_signature_feat_2.0,instrumentalness_time_signature_feat_3.0,instrumentalness_time_signature_feat_999.0,length_tempo_feat_2.0,length_tempo_feat_5.0,length_tempo_feat_999.0
2447,234800,64,0.5329999999999999,0.00075,0.802,0.000225,0.315,-6.73,0.0447,124.986,35,73.0,4455049.0,8,4,71.14285714285714,67.33333333333333,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2448,178973,62,0.583,0.00484,0.856,0.0,0.224,-5.4460000000000015,0.0445,168.053,35,73.0,4455049.0,8,4,71.42857142857143,68.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2450,214293,62,0.463,0.00204,0.84,2.16e-06,0.197,-5.807,0.0385,99.991,35,73.0,4455049.0,8,4,71.42857142857143,68.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2451,207186,78,0.452,0.246,0.574,0.0,0.189,-8.336,0.31,92.791,6130,77.0,7541345.0,8,2,70.28571428571429,70.0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
2452,232000,76,0.6729999999999999,0.522,0.6829999999999999,0.0,0.235,-5.693,0.115,171.86,5400,77.0,7541345.0,8,3,70.57142857142857,67.0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
2453,266840,75,0.81,0.528,0.5379999999999999,0.0,0.0951,-5.784,0.0356,109.97,5765,77.0,7541345.0,8,1,70.71428571428571,70.71428571428571,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
2454,220853,70,0.693,0.297,0.516,0.000127,0.0604,-6.4460000000000015,0.0413,94.02,6130,77.0,7541345.0,8,2,71.42857142857143,78.0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
2455,251626,70,0.6579999999999999,0.248,0.677,0.0,0.368,-6.627999999999999,0.0393,124.91,3939,77.0,7541345.0,8,1,71.42857142857143,71.42857142857143,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
2456,254533,69,0.727,0.6609999999999999,0.649,0.0,0.111,-5.356,0.0338,129.99200000000002,5400,77.0,7541345.0,8,3,71.57142857142857,70.5,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
2457,232800,67,0.71,0.00777,0.882,0.00771,0.294,-2.932,0.0595,128.016,3637,83.0,22974585.0,14,3,76.53846153846153,75.5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
