name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,days_since,liveness_speechiness_feat,danceability_speechiness_feat,length_speechiness_feat,instrumentalness_time_signature_feat,length_tempo_feat
Run BTS,Proof,BTS,2022-06-10,204939,84,0.7240000000000001,0.0201,0.818,0.0,0.0358,-3.747,0.168,77.00399999999999,4,126,3.0,3.0,3.0,2.0,2.0
Permission to Dance,Permission to Dance,BTS,2021-07-23,187585,81,0.7020000000000001,0.0054399999999999995,0.741,0.0,0.337,-5.33,0.0427,124.925,4,448,3.0,3.0,3.0,2.0,2.0
Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,BTS,2019-04-12,229773,81,0.645,0.0933,0.862,0.0,0.193,-4.761,0.0845,119.947,4,1281,3.0,3.0,3.0,2.0,2.0
Life Goes On,BE,BTS,2020-11-20,207481,79,0.5660000000000001,0.0069099999999999995,0.716,0.0,0.37,-5.733,0.0424,81.068,4,693,3.0,3.0,3.0,2.0,2.0
LA CANCIÓN,OASIS,J Balvin,2019-06-28,242573,89,0.754,0.152,0.6459999999999999,1.85e-05,0.10800000000000001,-5.795,0.317,176.08900000000003,4,1204,2.0,2.0,2.0,2.0,2.0
UN PESO,OASIS,J Balvin,2019-06-28,277106,83,0.627,0.125,0.675,0.0,0.0784,-7.125,0.213,79.31,4,1204,2.0,2.0,2.0,2.0,2.0
No Me Conoce - Remix,Famouz,Jhayco,2019-05-24,309120,83,0.8059999999999999,0.145,0.7859999999999999,0.0,0.0935,-3.8310000000000004,0.0741,91.973,4,1239,3.0,3.0,3.0,2.0,2.0
QUE PRETENDES,OASIS,J Balvin,2019-06-28,222346,82,0.639,0.0275,0.7909999999999999,0.0,0.36200000000000004,-4.4430000000000005,0.253,92.603,4,1204,2.0,2.0,2.0,2.0,2.0
I Like It,Invasion of Privacy,Cardi B,2018-04-06,253390,80,0.816,0.099,0.726,0.0,0.37200000000000005,-3.998,0.129,136.048,4,1652,2.0,2.0,2.0,2.0,2.0
AM Remix,AM Remix,Nio Garcia,2021-06-24,261334,80,0.743,0.114,0.655,0.0,0.0764,-5.015,0.159,172.03099999999998,4,477,2.0,2.0,2.0,2.0,2.0
Qué Más Pues?,JOSE,J Balvin,2021-09-10,217360,77,0.903,0.0272,0.8170000000000001,0.00031099999999999997,0.242,-3.972,0.095,102.014,4,399,2.0,2.0,2.0,2.0,2.0
KAWAII,KAWAII,Polimá Westcoast,2022-09-21,198247,77,0.9059999999999999,0.152,0.807,4.39e-05,0.109,-3.963,0.0904,97.009,4,23,999.0,999.0,999.0,999.0,999.0
Relación - Remix,Relación (Remix),Sech,2020-09-04,247308,77,0.7929999999999999,0.0337,0.7709999999999999,1.51e-06,0.284,-3.417,0.0959,171.94299999999998,4,770,3.0,3.0,3.0,2.0,2.0
Una Locura,Enoc,Ozuna,2020-09-04,230693,77,0.7140000000000001,0.139,0.7609999999999999,0.00035,0.24100000000000002,-4.596,0.0427,168.02200000000002,4,770,3.0,3.0,3.0,2.0,2.0
Bound 2,Yeezus,Kanye West,2013-06-18,229146,89,0.36700000000000005,0.145,0.665,0.0,0.113,-2.821,0.0465,148.91299999999998,4,3405,2.0,2.0,2.0,2.0,2.0
Heartless,808s & Heartbreak,Kanye West,2008-11-24,211000,86,0.79,0.0515,0.647,0.0,0.248,-5.983,0.136,87.999,4,5072,2.0,2.0,2.0,2.0,2.0
Flashing Lights,Graduation,Kanye West,2007-09-11,237506,85,0.639,0.0381,0.628,0.0,0.386,-7.577999999999999,0.0399,90.48200000000001,4,5512,2.0,2.0,2.0,2.0,2.0
Ni**as In Paris,Watch The Throne (Deluxe),JAY-Z,2011-08-08,219333,85,0.789,0.127,0.858,0.0,0.349,-5.542000000000001,0.311,140.02200000000002,4,4085,2.0,2.0,2.0,2.0,2.0
Father Stretch My Hands Pt. 1,The Life Of Pablo,Kanye West,2016-06-10,135920,83,0.7240000000000001,0.11800000000000001,0.573,0.0,0.5379999999999999,-4.113,0.0549,113.088,4,2317,2.0,2.0,2.0,2.0,2.0
Stronger,Graduation,Kanye West,2007-09-11,311866,83,0.617,0.00564,0.7170000000000001,0.0,0.408,-7.858,0.153,103.992,4,5512,2.0,2.0,2.0,2.0,2.0
True Love,True Love,Kanye West,2022-05-27,148571,82,0.7120000000000001,0.0182,0.861,6.09e-06,0.511,-5.487,0.25,84.042,4,140,2.0,2.0,2.0,2.0,2.0
I Wonder,Graduation,Kanye West,2007-09-11,243440,82,0.542,0.141,0.466,0.00044500000000000003,0.125,-8.665,0.0831,191.385,4,5512,2.0,2.0,2.0,2.0,2.0
Violent Crimes,ye,Kanye West,2018-06-01,215320,82,0.669,0.376,0.419,0.0,0.187,-6.724,0.522,109.81299999999999,4,1596,2.0,2.0,2.0,2.0,2.0
All Falls Down,The College Dropout,Kanye West,2004-02-10,223506,81,0.657,0.149,0.7340000000000001,0.0,0.139,-4.832,0.484,91.03,4,6821,2.0,2.0,2.0,2.0,2.0
lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,89,0.35100000000000003,0.934,0.29600000000000004,0.0,0.095,-10.109,0.0333,115.28399999999999,4,1639,3.0,3.0,3.0,2.0,2.0
Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,298899,89,0.332,0.767,0.225,0.00349,0.128,-8.697000000000001,0.0348,81.055,3,441,3.0,3.0,3.0,2.0,2.0
